,n,a,e,completeness,spread
464,5.0,0.9999999999999999,0.0,0.685,0.35000000000000003
465,6.0,0.9999999999999999,0.0,0.701,0.35000000000000003
466,7.0,0.9999999999999999,0.0,0.7,0.35000000000000003
467,8.0,0.9999999999999999,0.0,0.714,0.35000000000000003
468,9.0,0.9999999999999999,0.0,0.707,0.35000000000000003
469,10.0,0.9999999999999999,0.0,0.709,0.35000000000000003
470,1.0,0.9999999999999999,0.0,0.501,0.4
471,2.0,0.9999999999999999,0.0,0.602,0.4
472,3.0,0.9999999999999999,0.0,0.641,0.4
473,4.0,0.9999999999999999,0.0,0.667,0.4
474,5.0,0.9999999999999999,0.0,0.697,0.4
475,6.0,0.9999999999999999,0.0,0.69,0.4
476,7.0,0.9999999999999999,0.0,0.704,0.4
477,8.0,0.9999999999999999,0.0,0.71,0.4
478,9.0,0.9999999999999999,0.0,0.712,0.4
479,10.0,0.9999999999999999,0.0,0.712,0.4
480,1.0,0.9999999999999999,0.0,0.499,0.45
481,2.0,0.9999999999999999,0.0,0.594,0.45
482,3.0,0.9999999999999999,0.0,0.64,0.45
483,4.0,0.9999999999999999,0.0,0.664,0.45
484,5.0,0.9999999999999999,0.0,0.688,0.45
485,6.0,0.9999999999999999,0.0,0.7,0.45
486,7.0,0.9999999999999999,0.0,0.699,0.45
487,8.0,0.9999999999999999,0.0,0.71,0.45
488,9.0,0.9999999999999999,0.0,0.708,0.45
489,10.0,0.9999999999999999,0.0,0.719,0.45
490,1.0,0.9999999999999999,0.0,0.491,0.5
491,2.0,0.9999999999999999,0.0,0.599,0.5
492,3.0,0.9999999999999999,0.0,0.643,0.5
493,4.0,0.9999999999999999,0.0,0.667,0.5
494,5.0,0.9999999999999999,0.0,0.688,0.5
495,6.0,0.9999999999999999,0.0,0.697,0.5
496,7.0,0.9999999999999999,0.0,0.702,0.5
497,8.0,0.9999999999999999,0.0,0.703,0.5
498,9.0,0.9999999999999999,0.0,0.713,0.5
499,10.0,0.9999999999999999,0.0,0.712,0.5
500,1.0,1.0999999999999999,0.0,0.489,0.05
501,2.0,1.0999999999999999,0.0,0.582,0.05
